============================================================
 DANH SÁCH MONSTER CÒN THIẾU ẢNH
 Tổng: 70 ảnh
 Format: ZONE | FILE | PROMPT
============================================================

──── LAVA CAVERNS (6 ảnh) ────────────────────────────────

lava_caverns | lava_hound | A lava hound dog monster, large dog-like creature made of molten rock and magma, fiery mane, glowing ember eyes, dripping magma from paws, rocky volcanic cave background, fantasy RPG game art style

lava_caverns | lava_slime | A lava slime monster, round molten rock slime with glowing orange lava core visible inside, dripping magma body, rocky volcanic ground, fantasy RPG game art style, chibi style

lava_caverns | magma_golem | A magma golem monster, large humanoid stone golem with body cracked revealing flowing magma underneath, glowing ember eyes, lava cavern background, fantasy RPG game art style

lava_caverns | magma_turtle | A magma turtle monster, enormous turtle with volcanic rock shell cracked with glowing lava lines, fire-breathing head, lava pool background, fantasy RPG game art style

lava_caverns | obsidian_golem | An obsidian golem monster, giant humanoid shaped from sharp black obsidian volcanic glass, glowing red eyes, jagged crystalline body, lava cavern background, fantasy RPG game art style

lava_caverns | vulcan_warrior | A vulcan warrior monster, muscular fire warrior clad in volcanic armor with magma flowing through cracks, wielding a flaming sword, volcano background, fantasy RPG game art style

──── CRYSTAL SANCTUARY (10 ảnh) ──────────────────────────

crystal_sanctuary | crystal_leopard | A crystal leopard monster, sleek leopard with crystalline transparent body, rainbow prismatic refractions, gemstone rosette patterns, crystal cave background, fantasy RPG game art style

crystal_sanctuary | crystal_spirit | A crystal spirit elemental, translucent humanoid spirit made of pure crystal energy, prismatic light refractions inside, floating gracefully, crystal sanctuary background, fantasy RPG game art style

crystal_sanctuary | crystalline_knight | A crystalline knight monster, armored warrior entirely made of crystal, prismatic light reflecting from armor, holding a crystal sword, crystal cave background, fantasy RPG game art style

crystal_sanctuary | diamond_dragon | A diamond dragon boss monster, enormous majestic dragon made of pure diamond, light refracting spectacularly through its body creating rainbow aura, crystal cave background, fantasy RPG epic art style

crystal_sanctuary | diamond_stinger | A diamond stinger monster, giant scorpion-like insect with diamond-hard transparent exoskeleton, razor stinger tail, glinting in crystal cave light, fantasy RPG game art style

crystal_sanctuary | mirror_specter | A mirror specter ghost monster, flat reflective ghost that mimics the viewer, ghostly figure made of mirror shards, multiple reflections inside it, crystal sanctuary background, fantasy RPG game art style

crystal_sanctuary | prism_guard | A prism guard monster, crystal golem guardian with body made of geometric prism shapes, rainbow light beams emitting from its joints, guarding crystal gate, fantasy RPG game art style

crystal_sanctuary | prism_weaver | A prism weaver spider monster, large spider with translucent crystal body, weaving webs of solidified light, rainbow prism effects, crystal cave background, fantasy RPG game art style

crystal_sanctuary | prismatic_hydra | A prismatic hydra boss monster, multi-headed serpent with each head made of different colored crystal, rainbow energy breath attacks, crystal sanctuary background, fantasy RPG epic boss art style

crystal_sanctuary | shard_golem | A shard golem monster, large golem made of thousands of sharp floating crystal shards orbiting a glowing core, crystal shards spinning dangerously, crystal cave background, fantasy RPG game art style

──── SKY ISLANDS (15 ảnh) ────────────────────────────────

sky_islands | cloud_spirit | A cloud spirit elemental, fluffy white cloud that has formed a face and wispy arms, lightning sparking within its body, floating among sky islands, fantasy RPG game art style

